"no","title","oecd","score","q","issn1","issn2"
267,"Атомная энергия","02.03.00","0,312","2","0004-7163",NA
268,"Biological Communications","01.06.00","0,311","2","2542-2154","2587-5779"
269,"Электрохимия","01.04.00","0,311","2","0424-8570",NA
270,"Поверхность. Рентгеновские, синхротронные и нейтронные исследования","01.03.00","0,311","2","1028-0960",NA
271,"Византийский временник","06.01.00","0,310","2","0132-3776",NA
272,"Гироскопия и навигация","02.02.00","0,310","2","0869-7035","2075-0927"
273,"Ветеринария и кормление","04.03.00","0,309","2","1814-9588",NA
274,"Инфекция и иммунитет","01.06.00","0,308","2","2220-7619","2313-7398"
275,"Международные процессы","05.06.00","0,308","2","1728-2756","1811-2773"
276,"Российский журнал гастроэнтерологии, гепатологии, колопроктологии","03.02.00","0,307","2","1382-4376","2658-6673"
277,"Социологическая наука и социальная практика","05.04.00","0,307","2","2308-6416","2413-6891"
278,"Социологическое обозрение","05.04.00","0,306","2","1728-192X","1728-1938"
279,"Успехи физиологических наук","01.06.00","0,306","2","0301-1798",NA
280,"Агрофизика","04.01.00","0,306","2","2222-0666",NA
281,"Растительность России","01.06.00","0,305","2","2073-0659",NA
282,"Журнал социологии и социальной антропологии","05.04.00","0,304","2","1029-8053","2306-6946"
283,"Вестник Санкт-Петербургского университета. Науки о Земле","01.05.00","0,303","2","2541-9668","2587-585X"
284,"Литосфера","01.05.00","0,303","2","1681-9004","2500-302X"
285,"Прикладная эконометрика","05.02.00","0,302","2","1993-7601","2410-6445"
286,"Социология власти","05.04.00","0,302","2","2074-0492","2413-144X"
287,"Вестник СГУГиТ (Сибирского государственного университета геосистем и технологий)","01.05.00","0,301","2","2411-1759",NA
288,"Космические исследования","01.03.00","0,300","2","0023-4206",NA
289,"Радиотехника и электроника","02.02.00","0,300","2","0033-8494",NA
290,"Вестник Московского университета. Серия 4: Геология","01.05.00","0,300","2","0579-9406",NA
291,"Журнал общей химии","01.04.00","0,300","2","0044-460X","0044-460X"
292,"Приборы и техника эксперимента","01.03.00","0,299","2","0032-8162",NA
293,"Диалог со временем","06.01.00","0,299","2","2073-7564",NA
294,"Ядерная физика","01.03.00","0,299","2","0044-0027",NA
295,"Лёд и снег","01.05.00","0,299","2","2076-6734","2412-3765"
296,"Доклады Российской академии наук. Науки о жизни","01.06.00","0,298","2","2686-7389",NA
297,"Вавиловский журнал генетики и селекции","01.06.00","0,297","2","2500-0462","2500-3259"
298,"Журнал российского права","05.05.00","0,297","2","1605-6590","2500-4298"
299,"Психологический журнал","05.01.00","0,297","2","0205-9592",NA
300,"Социальная психология и общество","05.01.00","0,296","2","2221-1527","2311-7052"
301,"Вопросы языкознания","06.02.00","0,296","2","0373-658X",NA
302,"Известия высших учебных заведений. Лесной журнал","04.01.00","0,296","2","0536-1036",NA
303,"Вестник Томского государственного университета. Биология","01.06.00","0,296","2","1998-8591","2311-2077"
304,"Zoosystematica Rossica","01.06.00","0,295","2","0320-9180","2410-0226"
305,"Птицеводство","04.02.00","0,295","2","0033-3239",NA
306,"Международный сельскохозяйственный журнал","04.01.00","0,294","2","2587-6740",NA
307,"Вестник КрасГАУ","04.01.00","0,294","2","1819-4036",NA
308,"Жидкие кристаллы и их практическое использование","01.03.00","0,294","2","1991-3966","2499-9644"
309,"Атеросклероз и дислипидемии","03.02.00","0,294","2","2219-8202","2409-2355"
310,"Физикохимия поверхности и защита материалов","01.04.00","0,293","2","0044-1856",NA
